parameter,score
000101010,0.9045936395759718
000000001,0.9349234393404005
111111001,0.9349234393404005
000010100,0.9546525323910483
111010010,0.9363957597173145
010000001,0.9349234393404005
100011100,0.9502355712603063
001000010,0.9758539458186101
000110001,0.9349234393404005
111111001,0.9349234393404005
100000010,0.9758539458186103
100100010,0.9381625441696113
001010010,0.9369846878680801
011110100,0.9546525323910483
111101001,0.9349234393404005
010000010,0.9752650176678447
110100100,0.9517078916372202
010111001,0.9349234393404005
110101100,0.9517078916372202
111111010,0.9287396937573617
